MetaMessage('set_tempo', tempo=500000, time=0)
note_off channel=0 note=63 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=89 velocity=64 time=0
note_off channel=0 note=75 velocity=64 time=1
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=85 velocity=64 time=0
note_on channel=0 note=79 velocity=49 time=5
note_on channel=0 note=77 velocity=26 time=1
note_on channel=0 note=86 velocity=38 time=0
note_on channel=0 note=55 velocity=32 time=1
note_on channel=0 note=94 velocity=21 time=0
note_on channel=0 note=95 velocity=29 time=0
note_on channel=0 note=70 velocity=40 time=1
note_on channel=0 note=74 velocity=36 time=0
note_off channel=0 note=87 velocity=64 time=0
note_on channel=0 note=92 velocity=18 time=0
note_on channel=0 note=93 velocity=30 time=0
note_off channel=0 note=68 velocity=64 time=1
note_on channel=0 note=83 velocity=23 time=0
note_on channel=0 note=96 velocity=13 time=0
note_on channel=0 note=68 velocity=46 time=1
note_on channel=0 note=102 velocity=9 time=0
note_on channel=0 note=67 velocity=35 time=2
note_off channel=0 note=68 velocity=64 time=0
note_on channel=0 note=68 velocity=35 time=1
note_off channel=0 note=70 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=102 velocity=64 time=0
note_off channel=0 note=67 velocity=64 time=1
note_off channel=0 note=77 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=92 velocity=64 time=0
note_off channel=0 note=55 velocity=64 time=1
note_off channel=0 note=83 velocity=64 time=0
note_off channel=0 note=86 velocity=64 time=0
note_off channel=0 note=93 velocity=64 time=0
note_off channel=0 note=95 velocity=64 time=0
note_off channel=0 note=96 velocity=64 time=0
note_off channel=0 note=74 velocity=64 time=1
note_off channel=0 note=68 velocity=64 time=5
note_on channel=0 note=75 velocity=52 time=4
note_on channel=0 note=51 velocity=26 time=1
note_on channel=0 note=63 velocity=60 time=0
note_on channel=0 note=79 velocity=37 time=1
note_on channel=0 note=70 velocity=27 time=1
note_on channel=0 note=82 velocity=40 time=0
note_on channel=0 note=85 velocity=34 time=0
note_on channel=0 note=89 velocity=13 time=3
note_on channel=0 note=92 velocity=15 time=1
note_off channel=0 note=89 velocity=64 time=2
note_on channel=0 note=89 velocity=28 time=1
note_off channel=0 note=92 velocity=64 time=0
note_on channel=0 note=93 velocity=22 time=1
note_off channel=0 note=93 velocity=64 time=4
note_off channel=0 note=51 velocity=64 time=1
note_off channel=0 note=85 velocity=64 time=0
note_off channel=0 note=89 velocity=64 time=0
note_off channel=0 note=70 velocity=64 time=1
note_off channel=0 note=79 velocity=64 time=0
note_on channel=0 note=70 velocity=44 time=4
note_on channel=0 note=77 velocity=32 time=0
note_on channel=0 note=86 velocity=36 time=0
note_on channel=0 note=55 velocity=31 time=1
note_on channel=0 note=79 velocity=45 time=0
note_on channel=0 note=95 velocity=15 time=1
note_on channel=0 note=92 velocity=23 time=1
note_on channel=0 note=96 velocity=18 time=0
note_on channel=0 note=93 velocity=26 time=1
note_on channel=0 note=99 velocity=16 time=0
note_on channel=0 note=102 velocity=12 time=0
note_off channel=0 note=82 velocity=64 time=1
note_on channel=0 note=83 velocity=21 time=0
note_on channel=0 note=74 velocity=30 time=1
note_off channel=0 note=75 velocity=64 time=1
note_off channel=0 note=55 velocity=64 time=1
note_off channel=0 note=74 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=83 velocity=64 time=0
note_off channel=0 note=93 velocity=64 time=0
note_off channel=0 note=95 velocity=64 time=0
note_off channel=0 note=96 velocity=64 time=0
note_off channel=0 note=99 velocity=64 time=0
note_off channel=0 note=102 velocity=64 time=0
note_off channel=0 note=70 velocity=64 time=1
note_off channel=0 note=77 velocity=64 time=0
note_off channel=0 note=86 velocity=64 time=0
note_off channel=0 note=92 velocity=64 time=0
note_on channel=0 note=51 velocity=30 time=11
note_on channel=0 note=72 velocity=50 time=0
note_on channel=0 note=82 velocity=47 time=0
note_on channel=0 note=85 velocity=31 time=1
note_on channel=0 note=87 velocity=43 time=0
note_on channel=0 note=91 velocity=31 time=0
note_on channel=0 note=96 velocity=18 time=0
note_on channel=0 note=70 velocity=28 time=1
note_on channel=0 note=79 velocity=42 time=0
note_off channel=0 note=85 velocity=64 time=2
note_on channel=0 note=97 velocity=17 time=0
note_on channel=0 note=85 velocity=37 time=1
note_on channel=0 note=89 velocity=28 time=0
note_on channel=0 note=92 velocity=23 time=0
note_on channel=0 note=38 velocity=10 time=2
note_off channel=0 note=92 velocity=64 time=2
note_on channel=0 note=100 velocity=9 time=0
note_on channel=0 note=93 velocity=20 time=1
note_off channel=0 note=38 velocity=64 time=2
note_off channel=0 note=51 velocity=64 time=0
note_off channel=0 note=97 velocity=64 time=0
note_off channel=0 note=100 velocity=64 time=0
note_off channel=0 note=63 velocity=64 time=1
note_off channel=0 note=70 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=85 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=0
note_off channel=0 note=89 velocity=64 time=0
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=93 velocity=64 time=0
note_off channel=0 note=96 velocity=64 time=0
note_on channel=0 note=67 velocity=35 time=6
note_on channel=0 note=70 velocity=39 time=0
note_on channel=0 note=79 velocity=52 time=1
note_on channel=0 note=86 velocity=34 time=0
note_on channel=0 note=89 velocity=27 time=0
note_off channel=0 note=72 velocity=64 time=1
note_on channel=0 note=73 velocity=47 time=0
note_on channel=0 note=77 velocity=32 time=0
note_on channel=0 note=94 velocity=22 time=0
note_on channel=0 note=95 velocity=25 time=0
note_on channel=0 note=55 velocity=39 time=1
note_on channel=0 note=92 velocity=21 time=0
note_on channel=0 note=93 velocity=33 time=0
note_on channel=0 note=97 velocity=9 time=0
note_on channel=0 note=83 velocity=27 time=1
note_on channel=0 note=96 velocity=13 time=0
note_on channel=0 note=99 velocity=14 time=1
note_on channel=0 note=102 velocity=11 time=1
note_off channel=0 note=97 velocity=64 time=1
note_off channel=0 note=55 velocity=64 time=1
note_off channel=0 note=67 velocity=64 time=1
note_off channel=0 note=83 velocity=64 time=0
note_off channel=0 note=89 velocity=64 time=0
note_off channel=0 note=93 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=95 velocity=64 time=0
note_off channel=0 note=77 velocity=64 time=1
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=86 velocity=64 time=0
note_off channel=0 note=92 velocity=64 time=0
note_off channel=0 note=96 velocity=64 time=0
note_off channel=0 note=99 velocity=64 time=0
note_off channel=0 note=102 velocity=64 time=0
note_off channel=0 note=70 velocity=64 time=1
note_on channel=0 note=72 velocity=47 time=10
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=63 velocity=19 time=1
note_on channel=0 note=87 velocity=22 time=0
note_on channel=0 note=96 velocity=12 time=0
note_on channel=0 note=51 velocity=11 time=1
note_on channel=0 note=79 velocity=54 time=0
note_on channel=0 note=82 velocity=22 time=0
note_on channel=0 note=85 velocity=14 time=0
note_on channel=0 note=75 velocity=22 time=2
note_off channel=0 note=85 velocity=64 time=3
note_off channel=0 note=51 velocity=64 time=2
note_on channel=0 note=85 velocity=15 time=0
note_off channel=0 note=96 velocity=64 time=1
note_off channel=0 note=87 velocity=64 time=1
note_off channel=0 note=75 velocity=64 time=3
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=85 velocity=64 time=0
note_on channel=0 note=89 velocity=32 time=2
note_on channel=0 note=82 velocity=16 time=2
note_on channel=0 note=55 velocity=42 time=1
note_off channel=0 note=63 velocity=64 time=0
note_on channel=0 note=70 velocity=48 time=0
note_off channel=0 note=72 velocity=64 time=1
note_on channel=0 note=74 velocity=25 time=0
note_on channel=0 note=77 velocity=27 time=0
note_on channel=0 note=86 velocity=32 time=0
note_on channel=0 note=94 velocity=24 time=0
note_on channel=0 note=95 velocity=25 time=0
note_on channel=0 note=92 velocity=21 time=1
note_on channel=0 note=93 velocity=23 time=0
note_on channel=0 note=83 velocity=19 time=1
note_off channel=0 note=55 velocity=64 time=2
